what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284941316765
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1284941325890
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1284941327312
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284941328156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941331000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941331796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941332687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941347015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941347437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941908750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1284941914500
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1284941916359
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1284941916468
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1284941917687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284941942328
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1284941984328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941986578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941994046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284941994671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284942041656
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1284942048703
